,y(t-3),y(t-2),y(t-1),y(t)
3,5.3,5.35,5.4,5.45
4,5.35,5.4,5.45,5.4667
5,5.4,5.45,5.4667,5.4833
6,5.45,5.4667,5.4833,5.5
7,5.4667,5.4833,5.5,5.6333
8,5.4833,5.5,5.6333,5.7667
9,5.5,5.6333,5.7667,5.9
10,5.6333,5.7667,5.9,6.0167
11,5.7667,5.9,6.0167,6.1333
12,5.9,6.0167,6.1333,6.25
13,6.0167,6.1333,6.25,6.3833
14,6.1333,6.25,6.3833,6.5167
15,6.25,6.3833,6.5167,6.65
16,6.3833,6.5167,6.65,6.6167
17,6.5167,6.65,6.6167,6.5833
18,6.65,6.6167,6.5833,6.55
19,6.6167,6.5833,6.55,6.45
20,6.5833,6.55,6.45,6.35
21,6.55,6.45,6.35,6.25
22,6.45,6.35,6.25,6.2
23,6.35,6.25,6.2,6.15
24,6.25,6.2,6.15,6.1
25,6.2,6.15,6.1,6.0667
26,6.15,6.1,6.0667,6.0333
27,6.1,6.0667,6.0333,6.0
28,6.0667,6.0333,6.0,5.9833
29,6.0333,6.0,5.9833,5.9667
30,6.0,5.9833,5.9667,5.95
31,5.9833,5.9667,5.95,5.9667
32,5.9667,5.95,5.9667,5.9833
33,5.95,5.9667,5.9833,6.0
34,5.9667,5.9833,6.0,5.95
35,5.9833,6.0,5.95,5.9
36,6.0,5.95,5.9,5.85
37,5.95,5.9,5.85,5.7667
38,5.9,5.85,5.7667,5.6833
39,5.85,5.7667,5.6833,5.6
40,5.7667,5.6833,5.6,5.5833
41,5.6833,5.6,5.5833,5.5667
42,5.6,5.5833,5.5667,5.55
43,5.5833,5.5667,5.55,5.5167
44,5.5667,5.55,5.5167,5.4833
45,5.55,5.5167,5.4833,5.45
46,5.5167,5.4833,5.45,5.4333
47,5.4833,5.45,5.4333,5.4167
48,5.45,5.4333,5.4167,5.4
49,5.4333,5.4167,5.4,5.4167
50,5.4167,5.4,5.4167,5.4333
51,5.4,5.4167,5.4333,5.45
52,5.4167,5.4333,5.45,5.5
53,5.4333,5.45,5.5,5.55
54,5.45,5.5,5.55,5.6
55,5.5,5.55,5.6,5.5833
56,5.55,5.6,5.5833,5.5667
57,5.6,5.5833,5.5667,5.55
58,5.5833,5.5667,5.55,5.5833
59,5.5667,5.55,5.5833,5.6167
60,5.55,5.5833,5.6167,5.65
61,5.5833,5.6167,5.65,5.6
62,5.6167,5.65,5.6,5.55
63,5.65,5.6,5.55,5.5
64,5.6,5.55,5.5,5.4167
65,5.55,5.5,5.4167,5.3333
66,5.5,5.4167,5.3333,5.25
67,5.4167,5.3333,5.25,5.25
68,5.3333,5.25,5.25,5.25
69,5.25,5.25,5.25,5.25
70,5.25,5.25,5.25,5.25
71,5.25,5.25,5.25,5.25
72,5.25,5.25,5.25,5.25
73,5.25,5.25,5.25,5.24
74,5.25,5.25,5.24,5.23
75,5.25,5.24,5.23,5.22
76,5.24,5.23,5.22,5.2467
77,5.23,5.22,5.2467,5.2733
78,5.22,5.2467,5.2733,5.3
79,5.2467,5.2733,5.3,5.25
80,5.2733,5.3,5.25,5.2
81,5.3,5.25,5.2,5.15
82,5.25,5.2,5.15,5.1333
83,5.2,5.15,5.1333,5.1167
84,5.15,5.1333,5.1167,5.1
85,5.1333,5.1167,5.1,5.0833
